연도코드,시도명,시군구코드,사고위험지역명,사고위험지역id,총사고건수,총사망자수,총중상자수,총경상자수,사고분석유형명,반경내카메라수,반경내과속카메라,반경내신호카메라,카메라효과비율,cluster,군집라벨
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36050,16,1,3,17,기타 / 안전거리미확보 / 신호위반,0,0,0,66.66666666666666,1,사망위험 (사망사고 집중)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36051,20,0,8,23,기타 / 안전거리미확보 / U턴중,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36052,13,0,3,19,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36053,28,2,6,26,안전거리미확보 / U턴중 / 기타,0,0,0,33.33333333333333,1,사망위험 (사망사고 집중)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36054,20,1,4,20,신호위반 / U턴중 / 기타 / 안전거리미확보,2,0,2,50.0,3,과잉 (카메라多 사고少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36055,23,0,6,23,안전거리미확보 / 신호위반 / 기타 / U턴중,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36056,27,0,7,30,신호위반 / 기타 / U턴중 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36057,13,0,2,21,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36058,25,0,8,32,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36059,16,1,4,14,기타 / 안전거리미확보,0,0,0,50.0,1,사망위험 (사망사고 집중)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36060,32,0,15,28,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36061,42,1,12,45,안전거리미확보 / 기타,2,0,2,50.0,3,과잉 (카메라多 사고少)
2017,서울,11110,서울특별시 종로구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36062,17,1,5,11,신호위반 / 기타 / 안전거리미확보,1,0,1,66.66666666666666,1,사망위험 (사망사고 집중)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36064,19,0,11,9,안전거리미확보 / 기타,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36065,16,0,5,16,신호위반 / 안전거리미확보 / 기타,1,0,1,66.66666666666666,3,과잉 (카메라多 사고少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36066,19,0,14,16,안전거리미확보 / 기타 / U턴중,0,0,0,33.33333333333333,2,사고다발 (사고多+중상多)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36067,50,0,15,41,U턴중 / 신호위반 / 기타 / 안전거리미확보,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36068,19,0,7,13,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36069,16,0,3,15,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36070,27,0,2,22,신호위반 / 기타 / U턴중 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36071,23,0,3,29,기타 / 신호위반 / 안전거리미확보 / U턴중,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36072,20,0,3,19,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36073,24,0,11,18,기타 / 안전거리미확보,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36074,15,0,5,20,안전거리미확보 / 기타,1,0,1,50.0,3,과잉 (카메라多 사고少)
2017,서울,11140,서울특별시 중구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36075,24,0,4,26,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11170,서울특별시 용산구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36077,19,1,2,19,안전거리미확보 / 과속 / 기타 / 신호위반,0,0,0,75.0,1,사망위험 (사망사고 집중)
2017,서울,11170,서울특별시 용산구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36078,35,0,14,39,신호위반 / 안전거리미확보 / U턴중 / 기타,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11170,서울특별시 용산구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36079,18,0,2,23,U턴중 / 기타 / 안전거리미확보 / 신호위반,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11170,서울특별시 용산구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36080,19,0,5,25,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11170,서울특별시 용산구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36081,54,0,12,50,안전거리미확보 / 기타 / U턴중,0,0,0,33.33333333333333,2,사고다발 (사고多+중상多)
2017,서울,11170,서울특별시 용산구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36082,13,0,4,15,신호위반 / U턴중 / 기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36084,10,0,3,6,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36085,15,0,3,15,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36086,9,0,3,7,신호위반 / 기타 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36087,11,0,3,8,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36088,10,0,6,9,U턴중 / 기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36089,17,0,10,20,안전거리미확보 / U턴중 / 기타 / 신호위반,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36090,10,0,5,12,안전거리미확보 / 기타 / 신호위반,1,0,1,66.66666666666666,3,과잉 (카메라多 사고少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36091,11,0,4,5,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36092,15,0,5,16,신호위반 / 기타 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36093,9,0,1,9,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36094,15,0,6,18,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36095,10,0,3,7,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36096,14,1,4,11,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,1,사망위험 (사망사고 집중)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36097,10,0,2,7,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
