시도명,사고위험지역명,반경내카메라수,총사고건수,총사망자수,총중상자수,위험점수,카메라효율,카메라효과비율,과잉세분화,위도,경도
강원,강원도 속초시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,0,4,2.0,0.0,과잉(재배치1순위),38.18976245051091,128.59890933744748
충남,충청남도 보령시내에서 2021년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,0,4,2.0,0.0,과잉(재배치1순위),36.35418607890639,126.59085622564545
충남,충청남도 홍성군내에서 2022년도에 반경100m 이내 다른사고4건 이상 지역,2,5,0,0,5,2.5,0.0,과잉(재배치1순위),36.605567743581574,126.6757575673832
경북,경상북도 의성군내에서 2021년도에 반경100m 이내 다른사고4건 이상 지역,3,4,0,1,9,3.0,0.0,과잉(재배치1순위),36.352491317131,128.6968406799828
강원,강원도 속초시내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,0,4,4.0,0.0,과잉(재배치1순위),38.203147740195206,128.56843432679045
전남,전라남도 신안군내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,0,4,4.0,0.0,과잉(재배치1순위),34.86800935297234,126.30964856659504
전남,전라남도 무안군내에서 2021년도에 반경100m 이내 다른사고4건 이상 지역,2,8,0,0,8,4.0,0.0,과잉(재배치1순위),34.80809717512484,126.45789002560294
인천,인천광역시 동구내에서 2022년도에 반경50m 이내 다른사고4건 이상 지역,1,4,0,0,4,4.0,0.0,과잉(재배치1순위),37.48257309642499,126.63449984005508
충남,충청남도 당진시내에서 2022년도에 반경100m 이내 다른사고4건 이상 지역,1,4,0,0,4,4.0,0.0,과잉(재배치1순위),36.89864993184295,126.62084709488587
경기,경기도 과천시내에서 2018년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,1,9,4.5,0.0,과잉(재배치1순위),37.429599165343355,126.99791054655503
경기,경기도 과천시내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,1,9,4.5,0.0,과잉(재배치1순위),37.427463402733224,126.9916745664523
경북,경상북도 영양군내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,1,9,4.5,0.0,과잉(재배치1순위),36.66550945196456,129.111050627419
인천,인천광역시 동구내에서 2022년도에 반경50m 이내 다른사고4건 이상 지역,2,4,0,1,9,4.5,0.0,과잉(재배치1순위),37.47341598252312,126.6469773814772
전남,전라남도 해남군내에서 2022년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,1,9,4.5,0.0,과잉(재배치1순위),34.57396805744763,126.60054554856295
경남,경상남도 진주시내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,2,4,0,1,9,4.5,0.0,과잉(재배치1순위),35.171452293288645,128.06245777489934
인천,인천광역시 동구내에서 2020년도에 반경50m 이내 다른사고4건 이상 지역,1,5,0,0,5,5.0,0.0,과잉(재배치1순위),37.4827451627639,126.6346109629775
경남,경상남도 함안군내에서 2020년도에 반경100m 이내 다른사고4건 이상 지역,3,5,0,2,15,5.0,0.0,과잉(재배치1순위),35.27910306469027,128.40303928360248
충남,충청남도 홍성군내에서 2023년도에 반경100m 이내 다른사고4건 이상 지역,1,5,0,0,5,5.0,0.0,과잉(재배치1순위),36.60567436786833,126.67553281317797
경기,경기도 부천시소사구내에서 2017년도에 반경50m 이내 다른사고6건 이상 지역,2,6,0,1,11,5.5,0.0,과잉(재배치1순위),37.4817323431385,126.80503590911368
충남,충청남도 연기군내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,2,6,0,1,11,5.5,0.0,과잉(재배치1순위),36.59493062845935,127.29635642123586
경기,경기도 군포시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,1,6,0,0,6,6.0,0.0,과잉(재배치1순위),37.338743209199016,126.93237184057318
